Name;Energy;Fats;Carbs;Proteins;Fiber;Sugars;Water
Banane;89;0.33;22.84;1.09;2.6;12.23;74.91
Banane, disidratate;346;1.81;88.28;3.89;9.9;47.3;3
Barbabietola;22;0.13;4.33;2.2;3.7;0.5;91.02
Barbabietole rosse;43;0.17;9.56;1.61;2.8;6.76;87.58
Barbabietole rosse, in scatola;28;0.07;6.57;0.8;1.2;5.38;91.62
Barbabietole rosse, lesse;27;0.2;5.46;2.57;2.9;0.6;89.13
Barbabietole rosse, lesse e salate;44;0.18;9.96;1.68;2;7.96;87.06
Barretta ai cereali con frutta, per l'infanzia;344;5.3;68.63;5.43;1.7;42;14
Barretta al caramello;462;21.19;63.81;6.19;1.2;56.92;6.79
Barretta al muesli;471;19.8;64.4;10.1;5.3;3.9;1.9
Barretta cioccolato al latte, dietetica;386;8.92;60.21;16.19;5.1;25;10.87
Barretta cioccolato e fibre;350;10;69.78;5;22.5;25;12.04
Barretta croccante al burro di arachidi;542;31.34;55.53;9.53;3.3;40.33;1.6
Barretta di latte e cereali;413;10.98;72.05;6.47;0.4;45.97;8.69
Barretta di riso e mais;409;9.09;72.73;9.09;1.8;31.8;7.5
Barretta di riso soffiato al cioccolato;404;13.5;73;5.1;2.2;7;1.3
Barretta frutta e cereali;377;7.5;72.9;4.4;2.1;35.1;14.5
Basilico;23;0.64;2.65;3.15;1.6;0.3;92.06
Basilico essiccato;233;4.07;47.75;22.98;37.7;1.71;10.35
Bel paese;377;30.2;1;25.4;0;38.9;0
Bevanda al malto;37;0.12;8.05;0.21;0;8.05;91.15
Bevanda al malto e cioccolato;411;4.76;86.94;5.1;4.8;66.67;1.3
Bevanda al riso;47;0.97;9.17;0.28;0.3;5.28;89.28
Bevanda alla cioccolata con siero di latte;49;0.4;10.68;0.64;0.6;8.68;87.63
Bevanda istantanea al cioccolato;357;1.4;66.2;19.9;0.4;65.8;7.4
Bevanda istantanea al cioccolato, senza zucchero;358;5.1;41;35.8;2;39;7.4
Bicarbonato di sodio;0;0;0;0;0;0;0.2
Bieta;19;0.2;3.74;1.8;1.6;1.1;92.66
Bieta, lessa;20;0.08;4.13;1.88;2.1;1.1;92.65
Big mac, McDonald's;257;14.96;20.08;11.82;1.6;3.97;51.3
Big tasty senza maionese, McDonald's;192;9.11;17.44;11.25;1.5;3.96;60.77
Big tasty, McDonald's;226;13.68;16.6;10.64;1.4;3.79;57.71
Birra;43;0;3.55;0.46;0;0;91.96
Birra, budweiser;41;0;2.97;0.36;0;92.77;0
Birra, light;29;0;1.64;0.24;0;0.09;94.88
Biscotti al burro;467;18.8;68.9;6.1;0.8;20.24;4.6
Biscotti al burro di arachidi;478;21.1;65.6;8.8;1.9;35.44;2.8
Biscotti al cacao farciti con crema;469;19.78;70.67;5.61;2.8;41.01;2.2
Biscotti al cioccolato;497;25.2;66.1;4.6;3;1.2;43
Biscotti al cocco;404;12.7;72.2;3.6;1.8;70.65;10.6
Biscotti alla frutta, per l'infanzia;435;12.6;73.7;6.8;3.4;24.2;5.7
Biscotti con la marmellata;342;16.3;38.75;11.85;0.7;1.97;28.4
Biscotti d'avena;450;18.1;68.7;6.2;2.8;24.66;5.7
Biscotti da forno, al burro;365;16.5;48.5;6.2;1.3;3.48;26.7
Biscotti della fortuna;378;2.7;84;4.2;1.6;45.42;8
