Name;Energy;Fats;Carbs;Proteins;Fiber;Sugars;Water
Chili con carne;101;3.27;8.67;9.73;76.7;1.64;27
Chili con carne e fagioli, in barattolo;121;5.26;11.43;7.09;3.9;74.34;5.53
Chili e fagioli, in barattolo;121;5.26;11.43;7.09;3.9;74.34;5.53
Chili in barattolo;21;0.27;4.6;0.72;1.7;93.25;1.31
Chili, senza fagioli, in barattolo;118;7.1;6.1;7.53;77.68;3.35;1.59
Chiodi di garofano;323;20.07;61.21;5.98;34.2;2.38;6.86
Chips di mais;518;28.41;63.01;6.03;5.3;1.16;0.33
Ciambella all'avena;255;1.2;53.3;10.7;3.6;1.63;32.9
Ciambella all'uovo;278;2.1;53;10.6;2.3;32.7;1.6
Ciambella alla cannella;273;1.7;55.2;9.8;2.3;5.98;32
Ciambelle;418;23.55;45.63;5.87;1.6;16.28;22.88
Ciambelle, zuccherate o glassate;426;22.9;50.8;5.2;1.5;19.6;1.5
Ciccioli;579;61.41;0.09;5.68;0;0;31.06
Cicoria da taglio;23;0.3;4.7;1.7;4;0.7;92
Cicoria witloof;17;0.1;4;0.9;3.1;94.52;0.47
Ciliege;63;0.2;16.01;1.06;2.1;12.82;82.25
Ciliege, sciroppo, zuccherato, in barattolo;83;0.21;21.07;0.73;2.3;16.18;77.61
Ciliege, zuccherate, congelate;89;0.13;22.36;1.15;2.1;20.26;75.53
Cioccolata con caramello e nocciole;470;21;60.67;9.5;4.3;41.35;6.1
Cioccolata dietetica;593;43.27;38.55;12.26;3.6;14.57;3.23
Cioccolata liquida, senza zucchero;472;47.7;36.2;12.1;18.1;0;0.9
Cioccolato al latte;535;29.66;59.4;7.65;3.4;51.5;1.5
Cioccolato al latte con arachidi;519;33.5;49.7;13.1;4.7;37.59;1.9
Cioccolato al latte con caffè;549;33.18;55.25;7.41;5.7;50.75;2.42
Cioccolato al latte con uvette;390;14.8;68.4;4.1;3.1;62.22;11.2
Cioccolato al latte, con cereali;511;29.37;59.67;7.64;3.3;51.06;1.52
Cioccolato al latte, con mandorle;526;34.4;53.4;9;6.2;43.9;1.5
Cioccolato bianco;539;32.09;59.24;5.87;0.2;59;1.3
Cioccolato fondente;507;34.2;60.4;3.9;5.5;51.48;0.5
Cioccolato fondente amaro;501;52.31;29.84;12.9;16.6;0.91;1.34
Cipolla in polvere;341;1.04;79.12;10.41;15.2;6.63;5.39
Cipolle;40;0.1;9.34;1.1;1.7;4.24;89.11
Cipolle dolci;32;0.08;7.55;0.8;0.9;5.02;91.24
Cipolle, lesse;44;0.19;10.15;1.36;1.4;4.73;87.86
Cipolle, surgelate;35;0.06;8.45;0.89;1.7;3.81;90.22
Cipolline;27;0.47;5.74;0.97;1.8;4.95;92.32
Citronella;99;0.49;25.31;1.82;70.58;1.8;65
Clementine;47;0.15;12.02;0.85;1.7;9.18;86.58
Coca cola;37;0.02;9.56;0.07;0;8.97;90.31
Coca cola senza caffeina;41;0;10.58;0;0;10.58;89.62
Cocco;354;33.49;15.23;3.33;9;6.23;46.99
Cocktail di succo di mirtilli;54;0.1;13.52;0;0;11.87;86.17
Cocomero;30;0.15;7.55;0.61;0.4;6.2;91.45
Coda di maiale;378;33.5;0;17.75;0;46.05;0.5
Conchiglia di strombo;130;1.2;1.7;26.3;0;0;69.4
Condimento con pancetta e pomodoro;326;35;2;1.8;0.2;2;58.7
Confetti;474;17.93;68.26;10;2.5;62.5;2.3
Coni di mais;510;26.9;62.9;5.8;1.1;2;2.3
Coni gelato, zuccherati;402;3.8;84.1;7.9;1.7;25.66;3
Coniglio in fricassea;173;3.51;0;33.02;0;0;61.37
Coniglio, arrosto;197;8.05;0;29.06;0;60.61;1.04
Coniglio, carne cruda;136;5.55;0;20.05;0;72.82;0.72
Coniglio, cucinato in umido;206;8.41;0;30.38;0;0;58.82
Cono gelato, cialda;417;6.9;79;8.1;3;6;5.3
Conserva di pomodoro;60;0.56;13.41;1.61;1.2;8.11;82.5
Controfiletto di agnello, arrosto;244;15.13;0;25.16;59.65;1.01;11
Controfiletto di agnello, brasato;190;8.1;0;27.31;64.54;1.09;9
Controfiletto di manzo, carne magra, cruda;157;7.68;0;20.64;0;0;70.73
Controfiletto di manzo, carne mista, arrosto;211;11.07;0;26.05;0;0;62.63
Controfiletto di manzo, carne scelta, arrosto;221;12.36;0;25.66;0;0;61.82
Controfiletto di manzo, carne scelta, cruda;174;9.51;0;20.64;0;0;69.37
Controfiletto di manzo, magra, arrosto;193;9.73;0;26.34;0;0;63.79
Cookies;474;23.31;63.86;5.12;2.4;35.14;6.48
Coregone;134;5.86;0;19.09;0;0;72.77
Coriandolo, foglie;23;0.52;3.67;2.13;2.8;0.87;92.21
Cornetto al burro;406;21;45.8;8.2;2.6;11.26;23.2
Cornetto al formaggio;414;20.9;47;9.2;2.6;11.35;21
Cornetto alla mela;254;8.7;37.1;7.4;2.5;45.6;1.2
Cosce di rana;73;0.3;0;16.4;0;0;81.9
Coscia di agnello, cotta;243;13.46;0;28.37;0;0;56.8
Coscia di agnello, cruda;201;13.38;0;18.91;0;67.01;0.95
Coscia di fagiano;134;4.3;0;22.2;0;73.4;1.44
Coscia di maiale, arrosto;273;17.61;0;26.83;0;0;55.04
Coscia di tacchino;141;6.34;0;19.54;0;72.98;0.89
Coscia di tacchino arrosto;206;9.63;0;27.93;0;61.18;0.98
Coscio di maiale, magro;136;5.41;0;20.48;0;0;72.9
Coscio di pollo arrosto;185;8.06;0;26.26;0;0;66.44
Cosciotti di pollo, carne tenera, cotta al fornello;293;17.69;17;15.78;1.3;0.41;47.76
Cosciotti di pollo, carne tenera, cotta al microonde;252;12.89;17.56;16.35;0;0;51.34
Cosciotti di pollo, carne tenera, cruda;263;15.75;15.01;14.73;1.1;0.37;52.74
Cosciotti di pollo, crudi;130;5.18;1.42;18.28;0;74.12;1
Cosciotto di agnello, arrosto;242;14.42;0;26.2;0;58.99;1.04
Cosciotto di agnello, arrosto;225;12.45;0;26.41;0;60.66;1.05
Cosciotto di agnello, brasato;187;6.02;0;31.01;0;61.79;0.94
Cosciotto di agnello, magro;201;13.38;0;18.91;0;67.01;0.95
Cosciotto di agnello, magro, cotto;243;13.46;0;28.37;0;56.8;0.91
Costarella di agnello brasata, grassa;235;12.95;0;27.74;0;0;58.83
Costarella di agnello brasata, magra;340;26.82;0;23.06;0;49.03;1.19
Costarella di manzo, arrosto;355;28.51;0;23.01;0;0;47.73
Costarella di manzo, cotta;249;14.74;0;27.27;0;0;57.52
Costarella di manzo, prima scelta, semigrassa, cruda;367;33.26;0;15.77;0;50.4;0.73
Costarelle di agnello, arrosto;277;20.21;0;22.24;57.53;0.89;17
Costarelle di agnello, brasato;210;11.6;0;24.63;63.78;0.97;15
Costine di maiale;277;23.4;0;15.47;0;0;59.75
Costine di maiale, brasate;397;30.3;0;29.06;0;0;40.42
Costolette di agnello, arrosto;359;29.82;0;21.12;0;47.89;0.93
Costolette di agnello, cotte;361;29.59;0;22.13;0;0;47.06
Costolette di agnello, crude;372;34.39;0;14.52;0;50.8;0.74
Costolette di agnello, magre, arrosto;341;27.53;0;21.82;0;49.59;0.95
Costolette di agnello, magre, crude;342;30.71;0;15.32;0;53.68;0.78
Costolette di maiale;186;11.04;0;20.28;0;0;67.83
Costolette di maiale cotte;248;14.68;0;26.99;0;0;57.76
Costolette di maiale magre;136;4.8;0;21.79;0;0;72.4
Costolette di maiale magre cotte;206;9.21;0;28.82;0;0;61.44
Cotechino;342;30.85;1.7;13.3;0;0;51.35
Couscous cotto;112;0.16;23.22;3.79;1.4;0.1;72.57
Couscous crudo;376;0.64;77.43;12.76;5;8.56;0.62
Cozze;86;2.24;3.69;11.9;0;0;80.58
Cozze, cotte;172;4.48;7.39;23.8;0;61.15;3.18
Cracker al formaggio;503;25.3;58.2;10.1;2.4;0.28;3.1
Cracker al latte;455;15.8;69.7;7.6;1.9;16.44;4.7
Cracker vegetali, per l'infanzia;477;19.6;66.85;8.4;4;13;2
Cracker, a basso contenuto di grassi;444;13.37;71.52;9.34;3.4;15.01;2.73
Cracker, a basso contenuto di sale;473;20.6;64.9;8.6;4.5;13.04;3.1
Crackers salati;504;25.83;61.37;6.6;2.1;7.45;3.46
Crema di asparagi;69;3.26;8.52;1.82;0.4;0.72;84.05
Crema di cipolle;88;4.2;10.4;2.2;0.4;3.64;81
Crema di cocco;330;34.68;6.65;3.63;2.2;53.9;1.15
Crema di formaggio;342;34.24;4.07;5.93;0;3.21;54.44
Crema di formaggio, a basso contenuto di grassi;201;15.28;8.13;7.85;0;5.82;66.72
Crema di formaggio, senza grassi;105;1;7.66;15.69;0;5.48;71.87
Crema di frumento, cotta in acqua e salata;50;0.21;10.66;1.46;0.5;0.03;87.14
Crema di funghi;85;5.89;6.72;1.61;0;1.46;83.85
Crema di nocciole e cacao;541;29.73;62.16;5.41;5.4;54.05;1.07
Crema di pollo;41;2.04;5.11;0.68;0.1;1.59;90.94
Crema di prosciutto e formaggio, da spalmare;245;18.53;2.28;16.18;0;59.13;3.9
Crema di riso, cotta in acqua e salata;52;0.1;11.5;0.9;0.1;0.02;87.5
Crema di riso, in polvere;370;0.5;82.4;6.3;0.7;0.12;10.5
Crema di sedano;72;4.46;7.03;1.32;0.6;1.35;84.96
Crema di spinaci, per l'infanzia;37;1.3;5.7;2.5;1.8;2.33;89.6
Crema di verdure;446;24.1;52.1;8;3;17.51;2.9
Crema di whiskey;153;0.06;12.82;0.06;0;12.78;72.44
Creme caramel;145;4.03;22.78;4.53;0;23.15;68.05
Crescione;32;0.7;5.5;2.6;1.1;4.4;89.4
Crescione, lesso;23;0.6;3.8;1.9;0.7;3.11;92.5
Croccante di arachidi;522;33.7;47.4;15.5;4.1;42.22;1.6
Crocchette di pollo;153;1.94;2.76;31.1;0;2.7;53.8
Croissant salato con uova e formaggio;290;19.45;19.14;10.07;45.47;2.56;192
Croissant salato con uova, pancetta e formaggio;320;21.98;18.33;12.58;43.92;2.74;117
Croissant salato con uova, salsa e formaggio;327;23.85;15.45;12.69;45.87;2.27;90
Croissant, al burro;406;21;45.8;8.2;2.6;11.26;23.2
Crostata;501;24.83;64.3;5.1;1.9;18.13;4.37
Crostata ai mirtilli, confezionata;232;10;34.9;1.8;1;9.89;52.5
Crostata ai mirtilli, fatta in casa;245;11.9;33.5;2.7;51.2;0.7;7
Crostata al cioccolato;484;22.42;64.48;6.08;2.7;26.31;4.99
Crostata al cocco;276;17.6;28.5;2.8;0.5;49.7;1.3
Crostata al limone;316;16.1;42.6;3;2.6;37.6;1.1
Crostata alla banana;251;12.9;31.6;3.4;0.6;50.9;1.1
Crostata alla ciliegia, confezionata;260;11;39.8;2;0.8;14.29;46.2
Crostata alla ciliegia, fatta in casa;270;12.2;38.5;2.8;45.8;0.7;10
Crostata di mele;237;11;34;1.9;1.6;15.65;52.2
Crostini di pane;366;1.3;82.2;7.9;16.5;1.07;6.1
Crunch, nestle;500;26;67;5;1.9;55;0.65
Crusca di grano;216;4.25;64.51;15.55;42.8;0.41;9.89
Crusca, cotta;40;0.86;11.44;3.21;2.6;84;0.49
Crusca, cruda;246;7.03;66.22;17.3;15.4;1.45;6.55
Cubetti di mela, per l'infanzia;51;0.1;12.1;0.2;0.9;10.83;87.5
Cumino;333;14.59;49.9;19.77;38;0.64;9.87
Cuore di ovino, crudo;122;5.68;0.21;16.47;0;76.71;0.93
Cuore di pollo;153;9.33;0.71;15.55;0;73.56;0.85
Cuore di pollo bollito;185;7.92;0.1;26.41;0;64.85;0.72
Cuore di suino;118;4.36;1.33;17.27;0;0;76.21
Cuore di tacchino;113;4.79;0.41;17.13;0;0;76.62
Cuore di vitello;110;3.98;0.08;17.18;0;77.69;1.07
Curcuma;354;9.88;64.93;7.83;21.1;3.21;11.36
Currants;63;0.41;15.38;1.4;81.96;0.86;55
Curry in polvere;325;13.81;58.15;12.66;33.2;2.76;9.52
Daiquiri;186;0.06;6.94;0.06;0.1;5.58;69.74
Datteri;277;0.15;74.97;1.81;6.7;66.47;21.32
Datteri secchi;282;0.39;75.03;2.45;8;63.35;20.53
Dentice;100;1.34;0;20.51;0;0;76.87
Dessert ai frutti tropicali, per l'infanzia;60;0;16.4;0.2;83.2;0.2;10
Dessert alla mela e banana, per l'infanzia;68;0.2;16.3;0.3;1;14.66;83.1
Dessert alla pesca, per l'infanzia;67;0;18.3;0.3;0.7;11.89;81.2
Dessert allo yogurt, gusto mela, per l'infanzia;96;1.6;19.5;0.8;0.5;12.02;77.9
Dessert con yogurt gusto pesca, per l'infanzia;76;0.18;17.6;0.9;0.4;6.63;80.87
Dessert vaniglia e ciliegia, per l'infanzia;69;0.2;18.4;0.2;0.3;16.98;81
Dessert vaniglia e crema, per l'infanzia;86;0.98;17.58;1.76;0.2;12.2;79.31
Double cheeseburger, McDonald's;265;14.97;19.83;14.89;0.8;4.66;47.77
Double whopper con formaggio, Burger King;266;17.06;13.52;14.47;1.6;3.61;53.28
Double whopper senza formaggio, Burger King;252;15.66;13.74;13.94;1.4;3.52;55.29
Dragoncello;295;7.24;50.22;22.77;7.4;7.74;12.03
Durian;147;5.33;27.09;1.47;3.8;64.99;1.12
Eclairs con glassa al cioccolato;262;15.7;24.2;6.4;0.6;6.6;52.4
Edamame, fagioli verdi di soia, surgelati;110;4.73;8.58;10.25;4.8;2.48;75.17
Eggnog, bevanda alcolica allo zabaione;88;4.19;8.05;4.55;0;8.41;82.54
Eglefino;74;0.45;0;16.32;0;0;83.38
Eglefino, affumicato;116;0.96;0;25.23;0;0;71.48
Eglefino, cotto;90;0.55;0;19.99;0;0;79.65
Emmenthal;357;27.8;1.43;24.99;0;1.43;41.56
Epinefolo;92;1.02;0;19.38;0;79.22;1.17
Erba cipollina;30;0.73;4.35;3.27;2.5;1.85;90.65
Estratto di vaniglia, con alcol;237;0;2.41;0.05;0;64.46;0.22
Estratto di vaniglia, senza alcol;56;0;14.4;0.03;0;14.4;85.58
Fagiano;181;9.29;0;22.7;0;67.77;1.27
Fagioli borlotti freschi;335;1.23;60.05;23.03;24.7;12.39;3.31
Fagioli borlotti lessi;136;0.46;24.46;9.34;10;64.65;1.09
Fagioli borlotti, bolliti;143;0.65;26.22;9.01;9;0.34;62.95
Fagioli borlotti, in scatola;83;0.28;15.12;5.54;6.3;77.56;1.5
Fagioli cannellini;337;1.5;60.75;22.33;24.4;3.88;12.1
Fagioli cannellini, in scatola;113;0.43;20.45;7.53;5.1;0.28;70.45
Fagioli cannellini, lessi;140;0.62;26.05;8.23;10.5;0.37;63.81
Fagioli giapponesi azuki;329;0.53;62.9;19.87;12.7;13.44;3.26
Fagioli giapponesi azuki, bolliti;128;0.1;24.77;7.52;7.3;66.29;1.33
Fagioli neri;341;1.42;62.36;21.6;15.2;2.12;11.02
Fagioli neri, lessi, non salati;132;0.54;23.71;8.86;8.7;65.74;1.15
Fagioli occhio nero;90;0.35;18.83;2.95;5;3;77.2
Fagioli occhio nero, lessi;97;0.38;20.32;3.17;5;3.23;75.48
Fagioli occhio nero, lessi e salati;94;0.38;19.73;3.17;5;3.23;75.48
Fagioli occhio nero, surgelati;139;0.7;25.13;8.98;5;64.15;1.05
Fagioli precotti in scatola, con carne di maiale;106;1.55;19.99;5.19;5.5;71.46;1.81
Fagioli precotti in scatola, con carne di maiale e salsa di pomodoro;94;0.93;18.69;5.15;4;5.67;73.5
Fagioli precotti in scatola, con carne di maiale e salsa dolce;112;1.44;21.12;5.29;4.2;8.56;70.61
Fagioli precotti, in scatola;94;0.37;21.14;4.75;4.1;7.96;72
Fagioli rosa, bolliti;149;0.49;27.91;9.06;5.3;0.36;61.2
Fagioli rosa, secchi;343;1.13;64.19;20.96;12.7;2.14;10.06
Fagiolini;31;0.22;6.97;1.83;2.7;3.26;90.32
Fagiolini bolliti;35;0.28;7.88;1.89;3.2;1.55;89.22
Fagiolini surgelati;39;0.21;7.54;1.79;2.6;2.21;89.93
Fagiolo alato (Winged bean, dall'Asia), bollito, con sale;37;0.66;3.21;5.31;90.11;0.71;61
Fagiolo alato (Winged bean, dall'Asia), bollito, senza sale;38;0.66;3.21;5.31;90.11;0.71;61
Fagiolo alato (Winged bean, dall'Asia), crudo;49;0.87;4.31;6.95;87.04;0.83;84
Fagiolo Yam, bollito, con sale;36;0.09;8.23;0.72;90.07;0.89;11
Fagiolo Yam, bollito, senza sale;38;0.09;8.82;0.72;90.07;0.3;11
Fagiolo Yam, crudo;38;0.09;8.82;0.72;4.9;1.8;90.07
Faraona coscia;158;6.45;0;23.4;0;68.9;1.25
Farfaraccio;14;0.04;3.61;0.39;94.5;1.46;103
Farina d'avena;404;9.12;65.7;14.66;6.5;0.8;8.55
Farina d'orzo;361;1.84;78.3;10.28;7.1;0.8;8.21
Farina di carrube;222;0.65;88.88;4.62;39.8;49.08;3.58
Farina di cocco;660;64.53;23.65;6.88;16.3;7.35;3
Farina di frumento tipo 0;361;1.66;72.53;11.98;2.4;0.31;13.36
Farina di frumento tipo 00;340;2.5;71.97;13.21;10.7;0.41;10.74
Farina di ghiande;501;30.17;54.65;7.49;6;1.69;43
Farina di grano saraceno;335;3.1;70.59;12.62;10;2.6;11.15
Farina di mais bianco;361;3.86;76.85;6.93;7.3;0.64;10.91
Farina di mais giallo;375;1.39;82.75;5.59;1.9;0.64;9.81
Farina di riso;366;1.42;80.13;5.95;2.4;0.12;11.89
Farina di riso integrale;363;2.78;76.48;7.23;4.6;0.85;11.97
Farina di segale;349;1.52;75.43;10.88;11.8;1.1;10.97
Farina di segale bianca;357;1.33;76.68;9.82;8;0.93;11.4
Farina di segale scura;325;2.22;68.63;15.91;23.8;2.31;10.75
Farina di soia;436;20.65;35.19;34.54;9.6;7.5;5.16
Farina di triticale;338;1.81;73.14;13.18;14.6;10.01;1.85
Fave;71;0.22;12.41;5.47;3.7;80.32;1.58
Fave, crude;88;0.73;17.63;7.92;72.6;1.12;37
Fave, lesse e salate;62;0.5;10.1;4.8;83.7;0.9;18
Fecola d'orzo;345;1.6;74.52;10.5;10.1;0.8;12.11
Fecola di patate;357;0.34;83.1;6.9;5.9;3.52;6.52
Fegatini di pollo;119;4.83;0.73;16.92;0;0;76.46
Fegato d'oca;133;4.28;6.32;16.37;0;71.78;1.25
Fegato di alce, brasato;155;4.89;3.43;24.38;66;1.3;7
Fegato di ovino, crudo;139;5.02;1.78;20.38;0;71.37;1.44
Fegato di suino;134;3.65;2.47;21.39;0;71.06;1.44
Fegato di tacchino;228;16.36;2.26;17.84;0;0;62.29
Fegato di vitello;140;4.85;2.91;19.93;0;0;70.89
Felce arborea, cotta, con sale;40;0.07;10.78;0.29;3.7;88.6;0.26
Felce arborea, cotta, senza sale;40;0.07;10.98;0.29;3.7;88.6;0.06
Fesa di vitello, arrosto;150;3.39;0;28.07;0;67.01;1.5
Fesa di vitello, brasato;203;5.09;0;36.71;0;56.18;1.97
Fesa di vitello, cotta;160;4.65;0;27.7;0;0;66.1
Fesa di vitello, cruda;117;3.08;0;20.98;0;0;74.8
Fette biscottate;407;7.2;72.3;13.5;5.5;1.2;27
Fianchetto di manzo, brasato;237;13;0;28.02;0;0;57.27
Fianchetto di manzo, cotto;178;6.48;0;27.96;0;0;65.51
Fianchetto di manzo, crudo;165;8.29;0;21.22;0;0;69.46
Fianchetto di manzo, magro, crudo;141;5.47;0;21.57;0;0;72.08
Fichi;74;0.3;19.18;0.75;2.9;16.26;79.11
Fichi d'india;41;0.51;9.57;0.73;3.6;87.55;1.64
Fichi in barattolo, con sciroppo;107;0.1;27.86;0.38;71.39;0.28;26
Fichi secchi;107;0.4;27.57;1.42;4.2;23.35;69.8
Fichi secchi cotti;249;0.93;63.87;3.3;9.8;47.92;30.05
Fieno greco;323;6.41;58.35;23;24.6;8.84;3.4
Filet-o-fish senza salsa tartara, McDonald's;243;7.62;31.08;12.47;1;4.27;46.9
Filet-o-fish, McDonald's;275;13.47;27.45;10.99;1;2.65;46.18
Filetti vegetariani;290;18;9;23;6.1;0.8;45
Filetto di maiale;109;2.17;0;20.95;0;0;76
Filetto di maiale cotto;143;3.51;0;26.17;0;0;69.45
Filetto di manzo, cotto;343;26.67;0;24.04;0;0;48.28
Filetto di manzo, crudo;274;21.83;0;18.15;0;0;59.52
Finocchi;31;0.2;7.29;1.24;3.1;90.21;1.05
Fiocchi d'avena;389;6.9;66.27;16.89;10.6;8.22;1.72
Fiocchi d'avena e latte intero, per l'infanzia;116;4.1;15.3;5;1.1;74.5;1.1
Fiocchi d'avena, per l'infanzia;399;8;69.65;13.07;9;3.84;5.9
Fiocchi di cereali allo sciroppo d'acero;430;9.8;79.9;6;1.8;35.45;2.5
Fiocchi di cereali allo sciroppo d'acero e noci;422;10.5;76.9;8.3;6;24.5;2.6
Fiocchi di mais e crusca con frutta e nocciole;385;5.6;76.2;7.1;9.7;29.8;8.5
Fiocchi glassati al cioccolato;405;3.5;87.2;3.34;3.8;47;3.42
Fior di latte;254;15.92;2.77;24.26;0;1.13;53.78
Fiorentina di manzo arrosto, carne scelta, semigrassa;331;25.39;0;23.9;0;0;47.99
Fiorentina di manzo arrosto, semigrassa;324;24.6;0;23.9;0;0;48.37
Fiorentina di manzo, cotta;267;17.12;0;26.46;0;0;56.04
Fiorentina di manzo, cruda;247;18.16;0;19.61;0;0;61.52
Fiori di zucca;15;0.07;3.28;1.03;95.15;0.48;39
Fiori di zucca cotti;15;0.08;3.18;1.09;0.9;2.4;95.2
Fiori di zucca, lessi;15;0.08;3.3;1.09;0.9;2.4;95.2
Focaccia al sesamo;257;1.62;50.5;10.02;2.2;5.05;36.28
Focaccia alla cipolla;275;1.6;53.4;10.5;2.3;32.6;1.8
Focaccia con uvette;274;4.4;52.3;7.9;4.3;33.6;1.8
Foglie di barbabietola, lesse e salate;27;0.2;5.46;2.57;2.9;0.6;89.13
Foglie di broccoli;28;0.35;5.24;2.98;90.69;0.92;48
Foglie di coriandolo secche;279;4.78;52.1;21.93;10.4;7.27;7.3
Foglie di crisantemo;24;0.56;3.01;3.36;3;91.4;1.67
Foglie di rabarbaro;61;0.5;9.9;4.2;83.5;1.9;87
Foglie di rapa;32;0.3;7.13;1.5;3.2;0.81;89.67
Foglie di rapa, lesse;20;0.23;4.36;1.14;3.5;0.53;93.2
Foglie di rapa, surgelate, lesse senza sale;29;0.42;4.98;3.35;3.4;0.75;90.4
Foglie di salice;592;61;8.1;2.6;28;0.3;58
Foglie di vite;93;2.12;17.31;5.6;11;6.3;73.32
Foglie di vite, in scatola;69;1.97;11.71;4.27;76.1;5.95;289
Foglie di zucca;19;0.4;2.33;3.15;92.88;1.24;39
Foglie di zucca, bollite, con sale;21;0.22;3.39;2.72;2.7;0.69;92.51
Foglie di zucca, bollite, senza sale;21;0.22;3.39;2.72;2.7;0.69;92.51
Fonduta di formaggio;229;13.47;3.77;14.23;0;61.61;1.85
Fontina;389;31.14;1.55;25.6;0;1.55;37.92
Formaggino;309;26.9;6;11.2;0;52.6;0
Formaggino, basso contenuto di grassi;239;17.3;6.5;14.7;0;56.4;0
Formaggio gouda;356;27.44;2.22;24.94;0;2.22;41.46
Formaggio greco, feta;264;21.28;4.09;14.21;0;4.09;55.22
Formaggio messicano;282;19.4;3.41;24.69;0;0.56;48.2
Formaggio morbido di capra;268;21.08;0.89;18.52;0;0.89;60.75
Formaggio roquefort;369;30.64;2;21.54;0;39.38;6.44
Formaggio svizzero;380;27.8;5.38;26.93;0;1.32;37.12
Formaggio svizzero, basso contenuto di grassi;173;5.1;3.4;28.4;0;1.33;59.6
Formaggio tilsit;340;25.98;1.88;24.41;0;42.86;4.87
Fragole;32;0.3;7.68;0.67;2;4.89;90.95
Fragole, congelate, non zuccherate;35;0.11;9.13;0.43;2.1;4.56;89.97
Frattaglie di maiale;182;16.61;0;7.64;0;0;76.11
Frullato al cioccolato, fast-food;127;3.7;20.5;3.4;1.9;18.6;71.5
Frullato alla fragola, fast food;113;2.8;18.9;3.4;0.4;74.1;0.9
Frullato alla vaniglia, fast- food;148;6.52;19.59;3.37;0.9;13.63;69.65
Frutto della passione, giallo;60;0.18;14.45;0.67;0.2;14.25;84.21
Frutto della passione, viola;97;0.7;23.38;2.2;10.4;11.2;72.93
Fruttosio;368;0;100;0;0;92.7;0
Funghi coltivati;22;0.34;3.26;3.09;1;1.98;92.45
Funghi coltivati, cotti;28;0.47;5.29;2.17;2.2;2.34;91.08
Funghi ovuli;25;0.29;5.09;1.87;2.4;2.34;91.08
Funghi porcini;22;0.1;4.3;2.5;0.6;1.72;92.12
Funghi secchi;296;0.99;75.37;9.58;11.5;2.21;9.5
Gallina;110;2.47;0;20.64;0;74.44;1.25
Gallina con pelle;200;14.02;0;17.15;0;0;68.18
Gamberetti;101;1.47;9.13;12.39;0;74.91;2.11
Gamberetti crudi;71;1.01;0.91;13.61;0;0;83.01
Gamberetti, in barattolo;100;1.36;0;20.42;0;0;75.85
Gambero;72;0.97;0;14.85;0;84.05;1
Gambero, cotto;119;1.7;1.52;22.78;0;0;71.56
Gambero, impanato e fritto;242;12.28;11.47;21.39;0.4;0.8;52.86
Gambero, in umido;87;1.3;0;17.52;0;80.8;1.07
Gambo di broccoli;28;0.35;5.24;2.98;90.69;0.92;48
Gelato al cioccolato;216;11;28.2;3.8;1.2;25.36;55.7
Gelato all'arancia;95;0;23.17;0.5;0.1;19.99;76.1
Gelato alla fragola;192;8.4;27.6;3.2;0.9;60;0.7
Gelato alla frutta, senza zuccheri aggiunti;24;0.1;6.2;0.5;0;93.2;0.1
Gelato alla vaniglia;207;11;23.6;3.5;0.7;21.22;61
Gelato alla vaniglia, senza grassi;138;0;30.06;4.48;1;6.3;64.35
Gelato fior di latte;222;13;22.2;4.1;0.7;21.16;59.8
Gelato gusto lime;128;0;32.6;0.4;0;32.6;66.9
Gelsi;43;0.39;9.8;1.44;1.7;8.1;87.68
Germe di grano;360;9.72;51.8;23.15;13.2;11.12;4.21
Germogli di bamboo;11;0.22;1.52;1.53;1;95.92;0.81
Ghiande;387;23.86;40.75;6.15;27.9;1.35;41
Ghiande secche;509;31.41;53.66;8.1;5.06;1.78;54
Gin;263;0;0;0;0;0;62.1
Giuggiola;79;0.2;20.23;1.2;77.86;0.51;21
Giuggiola, secca;287;1.1;73.6;3.7;19.7;1.9;79
Gombo;31;0.1;7.03;2;3.2;1.2;90.17
Gombo, lesso;22;0.21;4.51;1.87;2.5;2.4;92.57
Gombo, surgelato;30;0.25;6.63;1.69;2.2;2.97;90.82
Gomme da masticare;360;0.3;96.7;0;2.4;66.08;2.6
Gomme da masticare, senza zucchero;268;0.4;94.8;0;2.4;0;3.5
Gorgonzola;353;28.74;2.34;21.4;0;0.5;42.41
Grana;392;28;33;0;32;0;32
Granchio;84;0.6;0;18.29;0;79.57;1.8
Granchio, in barattolo;83;0.74;0;17.88;0;0;79.69
Granchio, in umido;97;1.54;0;19.35;0;77.55;1.85
Granelli di mais, cotti in acqua senza sale;65;0.39;13.86;1.23;0.7;0.09;84.36
Grano duro;342;1.71;75.9;11.31;12.2;0.41;9.57
Grano saraceno;343;3.4;71.5;13.25;10;9.75;2.1
Grano saraceno, chicchi, cotti;92;0.62;19.94;3.38;2.7;0.9;75.63
Grano saraceno, chicchi, crudi;346;2.71;74.95;11.73;10.3;8.41;2.2
Grano tenero;340;1.99;75.36;10.69;12.7;0.41;10.42
Grasso di anatra;882;99.8;0;0;0;0;0.2
Grasso di maiale;518;53.1;0;9.03;0;0;34.6
Grasso di maiale cotto;607;62.11;0;11.04;0;0;25.79
Grasso di montone;902;100;0;0;0;0;0
Grasso di oca;900;99.8;0;0;0;0.2;0
Grasso di pollo;900;99.8;0;0;0;0;0.2
Grasso di tacchino;900;99.8;0;0;0;0;0.2
Grissini;412;9.5;68.4;12;3;1.26;6.1
